name	dataset	alpha
ALL	-	0.5164544787285452
dataset_0	-	0.5052927738666699
dataset_1	-	0.5276384842736133
богадельня	0	0.22626724048697866
машина	0	0.4624607947624847
молодец	0	0.5217816334521201
особа	0	0.15384120803040913
переулок	0	0.1517567858268808
больница	0	0.21707281767869202
декрет	0	0.20974734262976302
дождь	0	0.5254244346165302
заведующий	0	0.1734262941999356
мама	0	0.4018718980967696
насаждение	0	0.6366039985049923
неудачник	0	0.1739821535254722
овес	0	0.1969684329406144
отдел	0	0.3118506558883507
свалка	0	0.5520977408815342
сволочь	0	0.3362605842792159
серединный	0	0.17462507215957923
смотритель	0	0.08481535324355316
ссора	0	0.17820740643336452
трибунал	0	0.22762144919461047
червяк	0	0.5652279035838326
агентство	0	0.212802187146646
археолог	0	0.18912906026127674
бюрократ	0	-0.039821680450999875
весна	0	0.37287751088048204
вино	0	0.8213687478972165
влажный	0	0.05570214518193817
войско	0	0.11770426872854933
вывеска	0	0.3262070821691738
графиня	0	-0.0006869051956959193
директор	0	0.07137504933504935
дума	0	0.8949856335807325
заключенный	0	0.7960457033273508
защитник	0	0.286321614005691
знатный	0	0.520440104372234
казенный	0	0.20484473467208364
классный	0	0.37486456276756697
клиника	0	0.43144033155982964
комиссар	0	0.2170634537408802
мазь	0	0.5236011861985368
новичок	0	0.08595630108546648
ночлег	0	0.16610491164202668
обвинитель	0	0.18842546887782807
отделение	0	0.39588880106991353
отрывок	0	0.327819849500973
пакет	0	0.43628716763054987
палата	0	0.370015752506366
передовой	0	0.37467140872318383
пионер	0	0.42634841321916306
похищение	0	0.184001499409429
правитель	0	0.20078551695911373
привет	0	0.39248210059218036
присутствие	0	0.40777567271756043
прозвище	0	0.07424673699472217
пружина	0	0.3417876356003767
публика	0	0.07417826905591485
секция	0	0.3312010800494438
собор	0	0.6734994153292799
стиль	0	0.3664366795014088
тетка	0	0.24064182046937244
торжественный	0	0.08297754823649117
тройка	0	0.7589705355289688
трубка	0	0.8140008696930727
уклон	0	0.5657915445382924
управа	0	0.42648441183583496
управление	0	0.4458753162068214
участок	0	0.3682784998646088
философ	0	0.0856855636532029
чиновник	0	0.09023565520750298
элемент	0	0.30588437142216296
юношество	0	0.33201789081929023
ателье	1	0.3666581133902833
бескомпромиссность	1	0.008637421314326543
беспредел	1	0.038917078076430855
благотворительность	1	0.03366048797992649
блочный	1	0.45110512053437946
боевик	1	0.7081584467950385
ботаник	1	0.5268250074451498
брезентовый	1	0.08911054277462538
валюта	1	0.10889563837413574
валютный	1	0.1573137953395839
вампир	1	0.11484493195200085
взлом	1	0.41405968619456324
вирус	1	0.11916664671772548
выплеск	1	0.34870930342608353
высоколобый	1	0.4011258986849163
вышка	1	0.3766685986822894
гермафродит	1	0.1000279229772596
гильдия	1	0.3055516053474754
гимназия	1	0.10689535012168438
глянец	1	0.3126347694314696
гололед	1	0.05308603406132095
голубой	1	0.35905480084834607
двушка	1	0.7221893598140015
дивизион	1	0.47052764806591907
донорство	1	0.3406275898816209
драйвер	1	0.5996720730397422
завязка	1	0.8461967933342176
загрузка	1	0.3730045744885735
знамя	1	0.3917094282239265
игра	1	0.24827533022175696
инкубатор	1	0.4358683541136862
исполнитель	1	0.40260516972055727
карта	1	0.6673757448849551
классный	1	0.6289743280126403
корпус	1	0.6581083291560568
лилипут	1	0.2313832995774594
ломберный	1	0.3254202832310267
мгновение	1	0.13523117254350514
модель	1	0.2642257101270443
мыло	1	0.6420635115196913
одежда	1	-0.04820121981786274
однодневка	1	0.23354219423157907
орбита	1	0.6239085530070356
осуществимый	1	0.007241477596081292
пакет	1	0.585786065118317
партиец	1	0.09564919156318719
перестройка	1	0.47590863183358256
погрешность	1	0.2583942906760752
подстава	1	0.7381006493506493
предощущение	1	-0.008008328937888054
приношение	1	0.24853701056861888
прислуга	1	0.27258852485317975
приставка	1	0.6683136355294633
провальный	1	0.5184087660481314
продукция	1	0.24866354577680483
раскрутка	1	0.5465504010012681
рождество	1	0.4816281235294706
рынок	1	0.6271124741810201
рыночный	1	0.5382267159042169
свинцовый	1	0.5035962852111249
собака	1	0.41062396581642846
сомнение	1	0.05655830969553555
стаканчик	1	0.3694689603093124
стачка	1	0.5283663642098035
стиль	1	0.21196063395299636
удвоение	1	0.22474557836594655
флакон	1	0.32298011868588483
четырехлетка	1	0.38322715952287323
эрмитажный	1	0.1561768248570602
