WORD,GROUND_TRUTH
классный_ADJ,1.0
пакет_NOUN,1.0
стиль_NOUN,1.0
собака_NOUN,1.0
мыло_NOUN,1.0
модель_NOUN,1.0
перестройка_NOUN,1.0
рынок_NOUN,1.0
рыночный_ADJ,1.0
беспредел_NOUN,1.0
провальный_ADJ,1.0
раскрутка_NOUN,1.0
ботаник_NOUN,1.0
голубой_ADJ,1.0
донорство_NOUN,1.0
подстава_NOUN,1.0
исполнитель_NOUN,1.0
четырехлетка_NOUN,1.0
стачка_NOUN,1.0
корпус_NOUN,1.0
прислуга_NOUN,1.0
благотворительность_NOUN,1.0
приставка_NOUN,1.0
блочный_ADJ,1.0
боевик_NOUN,1.0
валюта_NOUN,1.0
валютный_ADJ,1.0
вампир_NOUN,1.0
взлом_NOUN,1.0
вирус_NOUN,1.0
высоколобый_ADJ,1.0
вышка_NOUN,1.0
гильдия_NOUN,1.0
гимназия_NOUN,1.0
глянец_NOUN,1.0
двушка_NOUN,1.0
дивизион_NOUN,1.0
драйвер_NOUN,1.0
завязка_NOUN,1.0
загрузка_NOUN,1.0
инкубатор_NOUN,1.0
карта_NOUN,1.0
пресс-конференция_NOUN,0.0
наркоман_NOUN,0.0
натрий_NOUN,0.0
сосиска_NOUN,0.0
творец_NOUN,0.0
кучка_NOUN,0.0
секретарша_NOUN,0.0
шахматы_NOUN,0.0
сострадание_NOUN,0.0
стипендия_NOUN,0.0
слесарь_NOUN,0.0
агентство_NOUN,0.0
госпитализация_NOUN,0.0
полнолуние_NOUN,0.0
закорючка_NOUN,0.0
префектура_NOUN,0.0
грабитель_NOUN,0.0
гражданка_NOUN,0.0
компенсация_NOUN,0.0
колода_NOUN,0.0
мучитель_NOUN,0.0
субстрат_NOUN,0.0
исправность_NOUN,0.0
модуль_NOUN,0.0
хрен_NOUN,0.0
бессилие_NOUN,0.0
кузнец_NOUN,0.0
древесина_NOUN,0.0
домовитость_NOUN,0.0
гребневик_NOUN,0.0
засол_NOUN,0.0
миозин_NOUN,0.0
дебютантка_NOUN,0.0
пассат_NOUN,0.0
цыганщина_NOUN,0.0
простоватость_NOUN,0.0
книгохранилище_NOUN,0.0
спелость_NOUN,0.0
зыбкость_NOUN,0.0
тиканье_NOUN,0.0
эму_NOUN,0.0
отделочник_NOUN,0.0
бескрайность_NOUN,0.0
ритуальность_NOUN,0.0
доминошник_NOUN,0.0
обтекаемость_NOUN,0.0
спектрограмма_NOUN,0.0
неделимость_NOUN,0.0
завхоз_NOUN,0.0
истребление_NOUN,0.0
раскладушка_NOUN,0.0
лекарь_NOUN,0.0
